Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
mode_link,-0.1104,0.025935,0.29003,0,0,0,21.895,0.032315,-0.0074415,-1.378E-05,0.08195,-8.6185E-06,0.078666,0,0,0,0,0,0,package://arm-new23/meshes/mode_link_visual.obj,1,1,1,1,0,0,0,0,0,0,package://arm-new23/meshes/mode_link.STL,,铝管15-15-1-290（2）-2;铝管15-15-1-290（2）-1;铝管15-15-1-615-2;铝管15-15-1-615-1;铝管15-15-1-97.5-1;铝管15-15-1-97.5-2;铝管15-15-1-97.5-3;铝管15-15-1-97.5-4;3508轮系固定板-1;3508轮系固定板-2;3508轮系固定板-3;3508轮系固定板-4;3508轮系固定板-7;3508轮系固定板-8;5.95.4旧全向轮h-3;5.95.4旧全向轮h-4;5.95.4旧全向轮h-2;5.95.4旧全向轮h-1;铝管15-15-1-290（3）-1;铝管15-15-1-290（3）-2;铝管15-15-1-525-1;铝管15-15-1-525-3;铝管15-15-1-525-2;铝管15-15-1-235-2;铝管15-15-1-80-1;铝管15-15-1-80-2;铝管15-15-1-290（4）-2;3508电机_标件_01-1;电机固定板-1;电机固定板（2）-1;轴承固定板-1;轴承固定板-2;轴承固定板-3;轴承固定板-4;打印件（轴承板固定座）-1;打印件（轴承板固定座）-2;轴承固定板（下）-1;轴承固定板（下）-2;轴承固定板（下）-3;轴承固定板（下）-4;打印件（轴承板固定座下）-1;打印件（轴承板固定座下）-2;滑车侧板（1）-1;滑车侧板（1）-2;滑车侧板（1）-3;滑车侧板（1）-4;滑车侧板（2）-1;滑车侧板（2）-2;滑车侧板（2）-3;滑车侧板（2）-4;压板（1）-1;压板（1）-2;齿板（1）-1;齿板（1）-2;铝架加强板-1;同步轮5M-30齿-1;同步轮5M-15齿-1;激光+微动装配体-1;zgb-7机械臂固定铝管1-1;zgb-7机械臂固定铝管1-2;zgb-7机械臂固定铝管1-3;关节机械臂装配体改进-2/zgb-7机械臂底板-1;关节机械臂装配体改进-2/AK80-8-3;关节机械臂装配体改进-2/AK80-8电机固定板-2;关节机械臂装配体改进-2/AK80-8电机固定板屁股-1;zgb-7机械臂固定铝管2-3;lcy-r2取头机构3.0整装-2;3508轮系固定板副本-2;3508轮系固定板副本-3;大电脑+保护壳-1;新小电脑固定装配体-1;781航模电池架.SLDPRT-2(1)-1;雷达相机固定装配体-2;存方块铝管改1-1;存方块固定铝管-2;存方块固定铝管-3;存方块固定铝管-4;存方块铝管改-1;存方块固定铝管1-1;存方块固定横管-1;存方块固定侧管-2;存方块固定管11-1;存方块固定铝管111-1;lcy-R2存方块机构整装-1;外框架-1;小真空泵+保护壳-1;10铝管垫高-1;10铝管垫高-2;10铝管垫高-3;吸盘支撑管-1;吸盘支撑管-2;吸盘支撑铝管1-1;吸盘支撑铝管1-2;lcy-中心硬件板-1;lcy-硬件板1(1)-1;lcy-大电脑硬件板-2;lcy-大电脑硬件板(2)-1;急停-1;硬件铝管4-1;硬件铝管5-1;硬件铝管1-2;硬件铝管-2;硬件铝管2-1;气瓶组-1;lcy-二层硬件板1-1;lcy-铝管15x15x-1;dt35铝管2-1;铝管485-1;铝管15-15-1-644.53 2-1;130副本一根对穿（1）-1;机械臂支撑铝管2副本-2;方块固定-1;方块固定1-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.25553,-0.0083446,0.10722,0,0,0,0.72847,0.000458,-1.2722E-07,0.00022349,0.0013914,1.196E-07,0.00098718,0,0,0,0,0,0,package://arm-new23/meshes/link1.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://arm-new23/meshes/link1.STL,,关节机械臂装配体改进-2/zgb-7铝管固定打印件-1;关节机械臂装配体改进-2/zgb-7电机关节垫板-1;关节机械臂装配体改进-2/zgb-7电机关节垫板-2;关节机械臂装配体改进-2/zgb-7大臂铝管-1;关节机械臂装配体改进-2/zgb-7电机固定加固板-2;关节机械臂装配体改进-2/zgb-7电机加固侧板-1;关节机械臂装配体改进-2/zgb-7电机固定加固板-1;关节机械臂装配体改进-2/zgb-7电机屁股固定板-1;关节机械臂装配体改进-2/zgb-6电机屁股垫高打印件-2;关节机械臂装配体改进-2/zgb-6电机屁股垫高板-2;关节机械臂装配体改进-2/zgb-6电机屁股垫高板-4;关节机械臂装配体改进-2/zgb-6电机屁股垫高打印件-1;关节机械臂装配体改进-2/zgb-6电机屁股垫高板-1;关节机械臂装配体改进-2/zgb-6电机屁股垫高板-3;关节机械臂装配体改进-2/GO-M8010-6电机3D模型-1,坐标系3,基准轴1,joint1,fixed,0.15389,0.063662,0.228,0,0,0,mode_link,0,1,0,,,,,,,,,,,,
link2,0.21709,-0.017332,-0.060896,0,0,0,0.23746,0.00015235,7.9141E-08,0.00031828,0.0012626,-2.2802E-08,0.0011545,0,0,0,0,0,0,package://arm-new23/meshes/link2.STL,0.37255,0.37255,0.37255,1,0,0,0,0,0,0,package://arm-new23/meshes/link2.STL,,关节机械臂装配体改进-2/zgb-6小臂固定打印件-1;关节机械臂装配体改进-2/zgb-7电机固定垫高板-3;关节机械臂装配体改进-2/zgb-7电机固定垫高板-1;关节机械臂装配体改进-2/zgb-7小臂铝管-1;关节机械臂装配体改进-2/zgb-7末端电机加固板-1;关节机械臂装配体改进-2/zgb-7机械臂末端固定板-2;关节机械臂装配体改进-2/zgb-7电机末端固定板1-3;关节机械臂装配体改进-2/zgb-7机械臂末端固定板-1;关节机械臂装配体改进-2/zgb-7机械臂末端固定板1-1;关节机械臂装配体改进-2/zgb-72006电机固定板-1;关节机械臂装配体改进-2/sww_2006  23版-1;关节机械臂装配体改进-2/zgb-52006轴固定打印件1-1;关节机械臂装配体改进-2/zgb-6直齿M1.5X20-1;关节机械臂装配体改进-2/zgb-6直齿M1.5X20-2;关节机械臂装配体改进-2/zgb-6直齿M1.5X20-3,坐标系4,基准轴2,joint2,revolute,-0.29285,-0.0373,0.12059,0,0,0,link1,0,1,0,0,0,0,0,,,,,,,,
link3,0.02987,0.037507,5.8072E-12,0,0,0,0.10789,4.4714E-05,8.6802E-08,-1.4223E-15,3.7572E-05,-4.6372E-15,2.9045E-05,0,0,0,0,0,0,package://arm-new23/meshes/link3.STL,0,0,0,1,0,0,0,0,0,0,package://arm-new23/meshes/link3.STL,,关节机械臂装配体改进-2/zgb-6直齿M1.5X50-2;关节机械臂装配体改进-2/zgb-6直齿M1.5X50-1;关节机械臂装配体改进-2/zgb-6大齿轮轴固定-2;关节机械臂装配体改进-2/zgb-6末端铝管固定-1;关节机械臂装配体改进-2/zgb-7末端铝管-1;关节机械臂装配体改进-2/zgb-6末端铝管固定-2;关节机械臂装配体改进-2/双层风琴硅胶吸盘-自适应-1;关节机械臂装配体改进-2/机械臂吸盘金具-1,坐标系5,基准轴3,joint3,revolute,0.47819,-0.063175,-0.13902,0,0,0,link2,0,1,0,0,0,0,0,,,,,,,,
